1 	50.0% 	50.0%
2 	50.0% 	50.0%
3 	50.0% 	50.0%
4 	50.0% 	50.0%
5 	25.0% 	50.0%
6 	25.0% 	50.0%
7 	25.0% 	50.0%
8 	25.0% 	50.0%
9 	25.0% 	50.0%
10 	25.0% 	50.0%
11 	25.0% 	75.0%
12 	25.0% 	75.0%
13 	25.0% 	50.0%
14 	25.0% 	50.0%
15 	25.0% 	50.0%
16 	25.0% 	50.0%
17 	25.0% 	50.0%
18 	25.0% 	50.0%
19 	25.0% 	50.0%
20 	25.0% 	50.0%
21 	25.0% 	50.0%
22 	25.0% 	50.0%
23 	25.0% 	50.0%
24 	25.0% 	50.0%
25 	25.0% 	50.0%
26 	25.0% 	50.0%
27 	25.0% 	50.0%
28 	25.0% 	50.0%
29 	25.0% 	50.0%
30 	25.0% 	50.0%
31 	25.0% 	50.0%
32 	25.0% 	50.0%
33 	25.0% 	50.0%
34 	25.0% 	50.0%
35 	25.0% 	50.0%
36 	25.0% 	50.0%
37 	25.0% 	50.0%
38 	25.0% 	50.0%
39 	25.0% 	50.0%
40 	25.0% 	50.0%
41 	25.0% 	50.0%
42 	25.0% 	50.0%
43 	25.0% 	50.0%
44 	25.0% 	50.0%
45 	25.0% 	50.0%
46 	25.0% 	50.0%
47 	25.0% 	50.0%
48 	25.0% 	50.0%
49 	25.0% 	50.0%
50 	25.0% 	50.0%
51 	25.0% 	50.0%
52 	25.0% 	50.0%
53 	25.0% 	50.0%
54 	25.0% 	50.0%
55 	25.0% 	50.0%
56 	25.0% 	50.0%
57 	25.0% 	50.0%
58 	25.0% 	50.0%
59 	25.0% 	50.0%
60 	25.0% 	50.0%
61 	25.0% 	50.0%
62 	25.0% 	50.0%
63 	25.0% 	50.0%
64 	25.0% 	50.0%
65 	25.0% 	50.0%
66 	25.0% 	50.0%
67 	25.0% 	50.0%
68 	25.0% 	50.0%
69 	25.0% 	50.0%
70 	25.0% 	50.0%
71 	25.0% 	50.0%
72 	25.0% 	50.0%
73 	25.0% 	50.0%
74 	25.0% 	50.0%
75 	25.0% 	50.0%
76 	25.0% 	50.0%
77 	25.0% 	50.0%
78 	25.0% 	50.0%
79 	25.0% 	50.0%
80 	25.0% 	50.0%
81 	25.0% 	50.0%
82 	25.0% 	50.0%
83 	25.0% 	50.0%
84 	25.0% 	50.0%
85 	25.0% 	50.0%
86 	25.0% 	50.0%
87 	25.0% 	50.0%
88 	25.0% 	50.0%
89 	25.0% 	50.0%
90 	25.0% 	50.0%
91 	25.0% 	50.0%
92 	25.0% 	50.0%
93 	25.0% 	50.0%
94 	25.0% 	50.0%
95 	25.0% 	50.0%
96 	25.0% 	50.0%
97 	25.0% 	50.0%
98 	25.0% 	50.0%
99 	25.0% 	50.0%
100 	25.0% 	50.0%
101 	25.0% 	50.0%
102 	25.0% 	50.0%
103 	25.0% 	50.0%
104 	25.0% 	50.0%
105 	25.0% 	50.0%
106 	25.0% 	50.0%
107 	25.0% 	50.0%
108 	25.0% 	50.0%
109 	25.0% 	50.0%
110 	25.0% 	50.0%
111 	25.0% 	50.0%
112 	25.0% 	50.0%
113 	25.0% 	50.0%
114 	25.0% 	50.0%
115 	25.0% 	50.0%
116 	25.0% 	50.0%
117 	25.0% 	50.0%
118 	25.0% 	50.0%
119 	25.0% 	50.0%
120 	25.0% 	50.0%
121 	25.0% 	50.0%
122 	25.0% 	50.0%
123 	25.0% 	50.0%
124 	25.0% 	50.0%
125 	25.0% 	50.0%
126 	25.0% 	50.0%
127 	25.0% 	50.0%
128 	25.0% 	50.0%
129 	25.0% 	50.0%
130 	25.0% 	50.0%
131 	25.0% 	50.0%
132 	25.0% 	50.0%
133 	25.0% 	50.0%
134 	25.0% 	50.0%
135 	25.0% 	50.0%
136 	25.0% 	50.0%
137 	25.0% 	50.0%
138 	25.0% 	50.0%
139 	25.0% 	50.0%
140 	25.0% 	50.0%
141 	25.0% 	50.0%
142 	25.0% 	50.0%
143 	25.0% 	50.0%
144 	25.0% 	50.0%
145 	25.0% 	50.0%
146 	25.0% 	50.0%
147 	25.0% 	50.0%
148 	25.0% 	50.0%
149 	25.0% 	50.0%
150 	25.0% 	50.0%
151 	25.0% 	50.0%
152 	25.0% 	50.0%
153 	25.0% 	50.0%
154 	25.0% 	50.0%
155 	25.0% 	50.0%
156 	25.0% 	50.0%
157 	25.0% 	50.0%
158 	25.0% 	50.0%
159 	25.0% 	50.0%
160 	25.0% 	50.0%
161 	25.0% 	50.0%
162 	25.0% 	50.0%
163 	25.0% 	50.0%
164 	25.0% 	50.0%
165 	25.0% 	50.0%
166 	25.0% 	50.0%
167 	25.0% 	50.0%
168 	25.0% 	50.0%
169 	25.0% 	50.0%
170 	25.0% 	50.0%
171 	25.0% 	50.0%
172 	25.0% 	50.0%
173 	25.0% 	50.0%
174 	25.0% 	50.0%
175 	25.0% 	50.0%
176 	25.0% 	50.0%
177 	25.0% 	50.0%
178 	25.0% 	50.0%
179 	25.0% 	50.0%
180 	25.0% 	50.0%
181 	25.0% 	50.0%
182 	25.0% 	50.0%
183 	25.0% 	50.0%
184 	25.0% 	50.0%
185 	25.0% 	50.0%
186 	25.0% 	50.0%
187 	25.0% 	50.0%
188 	25.0% 	50.0%
189 	25.0% 	50.0%
190 	25.0% 	50.0%
191 	25.0% 	50.0%
192 	25.0% 	50.0%
193 	25.0% 	50.0%
194 	25.0% 	50.0%
195 	25.0% 	50.0%
196 	25.0% 	50.0%
197 	25.0% 	50.0%
198 	25.0% 	50.0%
199 	25.0% 	50.0%
200 	25.0% 	50.0%
201 	25.0% 	50.0%
202 	25.0% 	50.0%
203 	25.0% 	50.0%
204 	25.0% 	50.0%
205 	25.0% 	50.0%
206 	25.0% 	50.0%
207 	25.0% 	50.0%
208 	25.0% 	50.0%
209 	25.0% 	50.0%
210 	25.0% 	50.0%
211 	25.0% 	50.0%
212 	25.0% 	50.0%
213 	25.0% 	50.0%
214 	25.0% 	50.0%
215 	25.0% 	50.0%
216 	25.0% 	50.0%
217 	25.0% 	50.0%
218 	25.0% 	50.0%
219 	25.0% 	50.0%
220 	25.0% 	50.0%
221 	25.0% 	50.0%
222 	25.0% 	50.0%
223 	25.0% 	50.0%
224 	25.0% 	50.0%
225 	25.0% 	50.0%
226 	25.0% 	50.0%
227 	25.0% 	50.0%
228 	25.0% 	50.0%
229 	25.0% 	50.0%
230 	25.0% 	50.0%
231 	25.0% 	50.0%
232 	25.0% 	50.0%
233 	25.0% 	50.0%
234 	25.0% 	50.0%
235 	25.0% 	50.0%
236 	25.0% 	50.0%
237 	25.0% 	50.0%
238 	25.0% 	50.0%
239 	25.0% 	50.0%
240 	25.0% 	50.0%
241 	25.0% 	50.0%
242 	25.0% 	50.0%
243 	25.0% 	50.0%
244 	25.0% 	50.0%
245 	25.0% 	50.0%
246 	25.0% 	50.0%
247 	25.0% 	50.0%
248 	25.0% 	50.0%
249 	25.0% 	50.0%
250 	25.0% 	50.0%
251 	25.0% 	50.0%
252 	25.0% 	50.0%
253 	25.0% 	50.0%
254 	25.0% 	50.0%
255 	25.0% 	50.0%
256 	25.0% 	50.0%
257 	25.0% 	50.0%
258 	50.0% 	50.0%
259 	50.0% 	50.0%
260 	50.0% 	50.0%
261 	50.0% 	50.0%
262 	50.0% 	50.0%
263 	50.0% 	50.0%
264 	50.0% 	50.0%
265 	50.0% 	50.0%
266 	50.0% 	50.0%
267 	50.0% 	50.0%
268 	50.0% 	50.0%
269 	50.0% 	50.0%
270 	50.0% 	50.0%
271 	50.0% 	50.0%
272 	50.0% 	50.0%
273 	50.0% 	50.0%
274 	50.0% 	50.0%
275 	50.0% 	50.0%
276 	50.0% 	50.0%
277 	50.0% 	50.0%
278 	50.0% 	50.0%
279 	50.0% 	50.0%
280 	50.0% 	50.0%
281 	50.0% 	50.0%
282 	50.0% 	50.0%
283 	50.0% 	50.0%
284 	50.0% 	50.0%
285 	50.0% 	50.0%
286 	50.0% 	50.0%
287 	50.0% 	50.0%
288 	50.0% 	50.0%
289 	50.0% 	50.0%
290 	50.0% 	50.0%
291 	50.0% 	50.0%
292 	50.0% 	50.0%
293 	50.0% 	50.0%
294 	50.0% 	50.0%
295 	50.0% 	50.0%
296 	50.0% 	50.0%
297 	50.0% 	50.0%
298 	50.0% 	50.0%
299 	50.0% 	50.0%
300 	50.0% 	50.0%
301 	50.0% 	50.0%
302 	50.0% 	50.0%
303 	50.0% 	50.0%
304 	50.0% 	50.0%
305 	50.0% 	50.0%
306 	50.0% 	50.0%
307 	50.0% 	50.0%
308 	50.0% 	50.0%
309 	50.0% 	50.0%
310 	50.0% 	50.0%
311 	50.0% 	50.0%
312 	50.0% 	50.0%
313 	50.0% 	50.0%
314 	50.0% 	50.0%
315 	50.0% 	50.0%
316 	50.0% 	50.0%
317 	50.0% 	50.0%
318 	50.0% 	50.0%
319 	50.0% 	50.0%
320 	50.0% 	50.0%
321 	50.0% 	50.0%
322 	50.0% 	50.0%
323 	50.0% 	50.0%
324 	50.0% 	50.0%
325 	50.0% 	50.0%
326 	50.0% 	50.0%
327 	50.0% 	50.0%
328 	50.0% 	50.0%
329 	50.0% 	50.0%
330 	50.0% 	50.0%
331 	50.0% 	50.0%
332 	50.0% 	50.0%
333 	50.0% 	50.0%
334 	50.0% 	50.0%
335 	50.0% 	50.0%
336 	50.0% 	50.0%
337 	50.0% 	50.0%
338 	50.0% 	50.0%
339 	50.0% 	50.0%
340 	50.0% 	50.0%
341 	50.0% 	50.0%
342 	50.0% 	50.0%
343 	50.0% 	50.0%
344 	50.0% 	50.0%
345 	50.0% 	50.0%
346 	50.0% 	50.0%
347 	50.0% 	50.0%
348 	50.0% 	50.0%
349 	50.0% 	50.0%
350 	50.0% 	50.0%
351 	50.0% 	50.0%
352 	50.0% 	50.0%
353 	50.0% 	50.0%
354 	50.0% 	50.0%
355 	50.0% 	50.0%
356 	50.0% 	50.0%
357 	50.0% 	50.0%
358 	50.0% 	50.0%
359 	50.0% 	50.0%
360 	50.0% 	50.0%
361 	50.0% 	50.0%
362 	50.0% 	50.0%
363 	50.0% 	50.0%
364 	50.0% 	50.0%
365 	50.0% 	50.0%
366 	50.0% 	50.0%
367 	50.0% 	50.0%
368 	50.0% 	50.0%
369 	50.0% 	50.0%
370 	50.0% 	50.0%
371 	50.0% 	50.0%
372 	50.0% 	50.0%
373 	50.0% 	50.0%
374 	50.0% 	50.0%
375 	50.0% 	50.0%
376 	50.0% 	50.0%
377 	50.0% 	50.0%
378 	50.0% 	50.0%
379 	50.0% 	50.0%
380 	50.0% 	50.0%
381 	50.0% 	50.0%
382 	50.0% 	50.0%
383 	50.0% 	50.0%
384 	50.0% 	50.0%
385 	50.0% 	50.0%
386 	50.0% 	50.0%
387 	50.0% 	50.0%
388 	50.0% 	50.0%
389 	50.0% 	50.0%
390 	50.0% 	50.0%
391 	50.0% 	50.0%
392 	50.0% 	50.0%
393 	50.0% 	50.0%
394 	50.0% 	50.0%
395 	50.0% 	50.0%
396 	50.0% 	50.0%
397 	50.0% 	50.0%
398 	50.0% 	50.0%
399 	50.0% 	50.0%
400 	50.0% 	50.0%
401 	50.0% 	50.0%
402 	50.0% 	50.0%
403 	50.0% 	50.0%
404 	50.0% 	50.0%
405 	50.0% 	50.0%
406 	50.0% 	50.0%
407 	50.0% 	50.0%
408 	50.0% 	50.0%
409 	50.0% 	50.0%
410 	50.0% 	50.0%
411 	50.0% 	50.0%
412 	50.0% 	50.0%
413 	50.0% 	50.0%
414 	50.0% 	50.0%
415 	50.0% 	50.0%
416 	50.0% 	50.0%
417 	50.0% 	50.0%
418 	50.0% 	50.0%
419 	50.0% 	50.0%
420 	50.0% 	50.0%
421 	50.0% 	50.0%
422 	50.0% 	50.0%
423 	50.0% 	50.0%
424 	50.0% 	50.0%
425 	50.0% 	50.0%
426 	50.0% 	50.0%
427 	50.0% 	50.0%
428 	50.0% 	50.0%
429 	50.0% 	50.0%
430 	50.0% 	50.0%
431 	50.0% 	50.0%
432 	50.0% 	50.0%
433 	50.0% 	50.0%
434 	50.0% 	50.0%
435 	50.0% 	50.0%
436 	50.0% 	50.0%
437 	50.0% 	50.0%
438 	50.0% 	50.0%
439 	50.0% 	50.0%
440 	50.0% 	50.0%
